0_0	6_0	99.07	107	1	0	1	107	1	107	5e-76	  216
0_1	6_1	79.17	48	10	0	1	48	1	48	9e-22	73.6
0_3	6_2	99.21	127	0	1	1	126	1	127	4e-91	  256
0_4	6_3	81.25	96	18	0	1	96	1	96	7e-57	  167
0_6	6_7	95.24	42	2	0	1	42	1	42	4e-26	84.3
0_7	6_8	100.00	102	0	0	1	102	1	102	3e-73	  209
0_7	6_13	26.53	49	36	0	26	74	40	88	2e-05	33.1
0_8	6_9	94.52	73	4	0	1	73	1	73	1e-48	  144
0_9	6_10	98.82	85	1	0	1	85	1	85	3e-60	  174
0_10	6_11	97.12	104	3	0	1	104	1	104	1e-74	  212
0_11	6_12	95.00	80	4	0	1	80	1	80	3e-54	  158
0_12	6_13	91.27	126	11	0	1	126	1	126	2e-84	  239
0_12	6_8	24.49	49	37	0	40	88	26	74	2e-04	30.8
0_13	6_14	96.55	116	4	0	1	116	1	116	1e-83	  236
0_14	6_15	97.79	271	6	0	1	271	1	271	0.0	  556
0_15	6_18	25.81	155	88	4	1	129	4	157	6e-08	42.7
0_16	6_19	98.11	264	5	0	142	405	1	264	0.0	  550
0_16	6_17	100.00	141	0	0	1	141	1	141	3e-100	  291
0_17	6_20	96.67	60	2	0	1	60	1	60	5e-38	  116
0_18	6_21	97.43	272	7	0	1	272	1	272	0.0	  522
0_19	6_22	45.45	55	30	0	7	61	8	62	2e-14	55.5
0_21	6_24	96.72	61	2	0	1	61	1	61	4e-38	  116
0_22	6_25	98.15	108	2	0	1	108	1	108	2e-76	  217
0_23	6_26	97.43	350	9	0	1	350	1	350	0.0	  719
0_24	6_27	98.72	391	5	0	1	391	1	391	0.0	  812
0_25	6_28	97.02	168	5	0	1	168	1	168	7e-123	  340
0_26	6_29	95.45	66	3	0	1	66	1	66	2e-41	  125
0_27	6_30	97.67	86	2	0	1	86	1	86	1e-55	  162
0_28	6_32	97.28	147	4	0	1	147	1	147	1e-105	  294
0_29	6_33	98.73	314	4	0	1	314	1	314	0.0	  655
0_30	6_34	96.15	78	3	0	1	78	1	78	9e-52	  152
0_31	6_35	94.59	74	4	0	1	74	1	74	5e-50	  147
0_32	6_36	95.71	70	3	0	1	70	1	70	6e-48	  142
