0_0	8_0	97.20	107	3	0	1	107	1	107	4e-75	  214
0_1	8_1	77.08	48	11	0	1	48	1	48	4e-21	72.0
0_3	8_2	98.43	127	1	1	1	126	1	127	2e-90	  254
0_4	8_3	93.75	96	6	0	1	96	1	96	3e-67	  193
0_6	8_6	95.24	42	2	0	1	42	1	42	1e-25	83.6
0_7	8_7	100.00	102	0	0	1	102	1	102	3e-73	  209
0_7	8_13	26.53	49	36	0	26	74	40	88	2e-05	32.7
0_8	8_8	93.15	73	5	0	1	73	1	73	3e-48	  143
0_9	8_10	97.65	85	2	0	1	85	1	85	9e-60	  173
0_10	8_11	97.12	104	3	0	1	104	1	104	3e-74	  211
0_11	8_12	92.50	80	6	0	1	80	1	80	5e-53	  155
0_12	8_13	94.44	126	7	0	1	126	1	126	4e-88	  248
0_12	8_7	24.49	49	37	0	40	88	26	74	2e-04	30.8
0_13	8_14	100.00	116	0	0	1	116	1	116	6e-86	  242
0_14	8_16	97.05	271	8	0	1	271	1	271	0.0	  554
0_15	8_19	25.81	155	88	4	1	129	4	157	6e-08	42.7
0_16	8_20	98.11	264	5	0	142	405	1	264	0.0	  551
0_16	8_18	99.29	141	1	0	1	141	1	141	9e-100	  290
0_17	8_21	95.00	60	3	0	1	60	1	60	2e-38	  117
0_18	8_22	95.96	272	11	0	1	272	1	272	0.0	  515
0_19	8_23	45.45	55	30	0	7	61	8	62	9e-15	56.2
0_21	8_24	95.08	61	3	0	1	61	1	61	2e-36	  112
0_22	8_25	97.22	108	3	0	1	108	1	108	6e-76	  216
0_23	8_26	98.29	350	6	0	1	350	1	350	0.0	  724
0_24	8_27	98.72	391	5	0	1	391	1	391	0.0	  812
0_25	8_28	97.02	168	5	0	1	168	1	168	7e-123	  340
0_26	8_29	95.45	66	3	0	1	66	1	66	2e-41	  125
0_27	8_30	97.67	86	2	0	1	86	1	86	1e-55	  162
0_28	8_32	97.28	147	4	0	1	147	1	147	1e-105	  294
0_29	8_33	99.36	314	2	0	1	314	1	314	0.0	  659
0_30	8_34	97.44	78	2	0	1	78	1	78	1e-52	  154
0_31	8_35	91.89	74	6	0	1	74	1	74	2e-48	  144
0_32	8_36	97.14	70	2	0	1	70	1	70	3e-48	  142
0_33	8_37	98.04	102	2	0	1	102	1	102	9e-72	  205
0_34	8_38	93.79	853	53	0	1	853	1	853	0.0	 1662
0_35	8_39	96.05	683	25	1	1	681	1	683	0.0	 1348
0_36	8_40	99.24	131	1	0	1	131	1	131	6e-96	  268
0_37	8_41	63.39	112	38	1	1	112	1	109	1e-46	  141
0_39	8_42	98.06	206	4	0	231	436	1	206	3e-150	  422
0_40	8_43	100.00	176	0	0	1	176	1	176	6e-134	  369
0_41	8_44	99.66	581	2	0	1	581	1	581	0.0	 1208
0_42	8_19	48.15	27	14	0	115	141	121	147	1e-04	33.1
0_43	8_44	89.23	297	30	1	27	323	565	859	0.0	  562
0_44	8_45	94.06	101	6	0	1	101	1	101	8e-70	  200
0_45	8_46	98.92	93	1	0	1	93	1	93	9e-68	  194
0_46	8_47	98.47	326	5	0	1	326	1	326	0.0	  674
0_47	8_48	99.72	717	2	0	1	717	1	717	0.0	 1500
0_48	8_49	99.60	250	1	0	1	250	1	250	0.0	  518
0_49	8_50	98.50	267	4	0	1	267	1	267	0.0	  528
0_50	8_51	100.00	184	0	0	1	184	1	184	3e-137	  377
0_51	8_52	94.63	149	8	0	1	149	1	149	2e-65	  192
0_53	8_53	100.00	50	0	0	1	50	1	50	3e-33	  103
0_54	8_54	95.56	45	2	0	1	45	1	45	1e-26	85.9
0_55	8_55	100.00	76	0	0	1	76	1	76	9e-53	  154
0_56	8_56	97.15	3753	107	0	1	3753	1	3753	0.0	 7495
0_57	8_57	83.36	649	105	1	1	646	1	649	0.0	 1059
0_58	8_58	78.43	153	27	2	1	153	1	147	9e-79	  226
0_59	8_59	96.43	56	2	0	1	56	828	883	6e-33	  112
0_60	8_59	93.91	838	47	1	1	838	1	834	0.0	 1546
0_61	8_60	96.04	278	11	0	1	278	1	278	0.0	  555
0_62	8_61	100.00	211	0	0	1	211	1	211	3e-156	  428
0_63	8_62	99.00	400	4	0	1	400	1	400	0.0	  822
0_64	8_63	99.01	406	4	0	1	406	1	406	0.0	  814
0_65	8_64	100.00	114	0	0	1	114	1	114	2e-81	  230
0_66	8_65	99.74	756	2	0	1	756	1	756	0.0	 1562
0_67	8_66	99.40	166	1	0	1	166	1	166	1e-121	  337
0_68	8_67	99.53	211	1	0	1	211	1	211	3e-158	  433
0_69	8_68	97.67	86	2	0	1	86	1	86	3e-59	  172
0_70	8_69	97.27	110	3	0	1	110	1	110	1e-75	  215
0_71	8_70	71.84	174	45	1	1	174	1	170	1e-71	  246
0_71	8_71	30.39	181	105	7	4	165	291	469	3e-13	64.7
0_72	8_71	76.62	402	92	2	1	400	1	402	0.0	  614
0_72	8_71	26.93	401	249	16	140	526	225	595	4e-14	67.8
0_72	8_70	23.87	222	115	8	294	464	8	226	1e-04	36.6
0_73	8_72	98.31	236	4	0	1	236	1	236	1e-179	  489
0_74	8_73	99.43	529	3	0	1	529	1	529	0.0	 1097
0_75	8_74	99.56	229	1	0	1	229	1	229	6e-173	  472
0_76	8_75	95.65	92	4	0	1	92	1	92	1e-62	  181
0_77	8_76	97.73	132	3	0	1	132	1	132	8e-96	  268
0_78	8_77	93.22	59	4	0	1	59	1	59	8e-37	  116
0_78	8_76	38.89	36	22	0	33	68	36	71	3e-04	30.0
0_79	8_78	93.81	97	6	0	1	97	1	97	3e-64	  186
